x(m),Elapsed Time (sec), Depth (m),Discharge (m3/s),Velocity (m/s),Froude (-),Courant Number (-),WSE (m)
0,1,8.86141421356114,282.819999980606,8.65289741026423,0.966355618039911,0.0734622878899085,108.861414213561
0,906.880392725225,20.0729370842451,282.80425843757,3.65631488064721,0.264539711106039,0.750319213935823,120.072937084245
0,1807.31625747922,23.4776725413925,282.757149144764,3.10700072232909,0.207496689078297,0.750267032335082,123.477672541392
0,2702.81256142853,25.5577801007979,282.679416776755,2.84388329581986,0.18196521848451,0.750123415034558,125.557780100798
0,3600.6884067951,27.074939670153,282.570553189425,2.67939108826015,0.166433895331431,0.75013717706745,127.074939670153
0,4507.96478925312,27.9323834886945,267.118094922077,2.4516649192222,0.149965079953283,0.749900761963665,127.932383488695
0,5404.49999973578,27.6988466810856,233.602842785378,2.16207450593089,0.132852800387582,0.749804496186835,127.698846681086
0,6304.30633950762,26.7496927938543,200.021740459631,1.91808578162028,0.120026111221378,0.749742880618209,126.749692793854
0,7208.33096874737,25.8108829303279,184.740011304714,1.83828871322276,0.1171269826719,0.749940724214749,125.810882930328
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239.6747,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,108.66020141237
239.6747,906.880392725225,20.1364252466213,252.424225930382,3.25606525144286,0.234969818308172,0.733969231630184,119.935212445431
239.6747,1807.31625747922,23.5003758131948,261.026882946073,2.8640017540029,0.191264584151476,0.740549705533882,123.299163012004
239.6747,2702.81256142853,25.5803846882943,265.194880306067,2.66634345699283,0.170478331621538,0.743169884687973,125.379171887104
239.6747,3600.6884067951,27.086376597153,267.762452087498,2.53734774022185,0.157611044802046,0.744621971612718,126.885163795962
239.6747,4507.96478925312,27.9376056396263,257.235208958616,2.36088453495356,0.14437514926984,0.746327005989729,127.736392838436
239.6747,5404.49999973578,27.6894910382307,229.394459988961,2.12356030579107,0.130528123428809,0.748134602185827,127.48827823704
239.6747,6304.30633950762,26.7391881914518,199.625143609086,1.91529156238795,0.119860174903847,0.749481585494243,126.537975390261
239.6747,7208.33096874737,25.8024870738272,184.445884616738,1.83578128407898,0.117000173480401,0.749728109157225,125.601274272636
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
479.3494,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,108.45898861118
479.3494,906.880392725225,19.8306711337981,240.404787637728,3.14768671865716,0.229164018833583,0.724754320863014,119.428245531417
479.3494,1807.31625747922,23.2854830897449,253.495644341467,2.80926192825701,0.188402245239602,0.735282424618251,122.883057487363
479.3494,2702.81256142853,25.3978199878592,259.5123193259,2.62774575930608,0.168676733408211,0.739301413593834,124.995394385478
479.3494,3600.6884067951,26.9376254988761,263.185380066567,2.50868132904638,0.156235591272748,0.741638974922623,126.535199896495
479.3494,4507.96478925312,27.8196983680608,254.656098024235,2.34701915488263,0.143860105114111,0.744375922785301,127.417272765679
479.3494,5404.49999973578,27.6208976209597,228.918661037503,2.12488051720939,0.130754181777931,0.747335391605741,127.218472018578
479.3494,6304.30633950762,26.7044726642626,200.316613091051,1.9242750708826,0.120516844573501,0.749419878231471,126.302047061881
479.3494,7208.33096874737,25.7839365544519,184.849217239143,1.84135386985462,0.117384722743772,0.74971204286573,125.381510952071
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719.0241,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,108.257775809989
719.0241,906.880392725225,19.4483643717496,233.376757706304,3.12176485141637,0.229299687806052,0.717559921219967,118.844725968177
719.0241,1807.31625747922,22.9958345108643,249.404254324647,2.79857236795478,0.18898196127695,0.730913340922529,122.392196107292
719.0241,2702.81256142853,25.1740572868022,256.63056415977,2.62318186284366,0.16909442692064,0.736211029143124,124.57041888323
719.0241,3600.6884067951,26.7434913516116,260.936366872454,2.50526349751522,0.156635106463289,0.739146675140397,126.139852948039
719.0241,4507.96478925312,27.6776097972936,253.682648455038,2.35081553800641,0.144443619405066,0.742802699305062,127.073971393722
719.0241,5404.49999973578,27.5324626888509,229.196291467018,2.13422317473754,0.13156136490351,0.746637944290664,126.928824285279
719.0241,6304.30633950762,26.6659463196528,201.217934264368,1.93606622053658,0.121327127763393,0.749409211058818,126.062307916081
719.0241,7208.33096874737,25.7588362599622,185.393159914663,1.84840204688225,0.117907539323542,0.749686503282331,125.15519785639
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
958.6988,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,108.056563008798
958.6988,906.880392725225,19.0184988588754,227.440590378819,3.11075459645042,0.231374382565985,0.71048843660881,118.213647654113
958.6988,1807.31625747922,22.6997572926233,246.154143234499,2.80085400239449,0.190295800354595,0.726848477111452,121.894906087861
958.6988,2702.81256142853,24.9297155076849,254.34795985743,2.62531555307277,0.170132219784399,0.733176795922941,124.124864302922
958.6988,3600.6884067951,26.5446542859,259.21667949553,2.50850687686367,0.157400960106914,0.736809007541715,125.739803081137
958.6988,4507.96478925312,27.5219813596591,253.003996519619,2.35774410727674,0.145310495481363,0.741222207985645,126.717130154896
