x(m),Elapsed Time (sec), Depth (m),Discharge (m3/s),Velocity (m/s),Froude (-),Courant Number (-),WSE (m)
0,0.1,0.209081918001175,1,0.954921182217934,0.666810540271878,0.00238715069201445,100.209081918001
0,300.1,0.209081918001175,1.00014166080347,0.954793452112916,0.667078707728985,0.238753475253924,100.209081918001
0,600.1,0.209081918001175,1.02706070016381,0.978917694667146,0.684949763072815,0.241312908440859,100.209081918001
0,900.1,0.213272869586945,1.42812215818691,1.33053980996537,0.925392487462793,0.278498216324352,100.213272869587
0,1208.63103704786,0.264029949903488,3.56587863897665,2.74407697186816,1.67671030550504,0.405071064451911,100.264029949903
0,1500.66092566459,0.482425093650818,9.19143886565383,3.8983689755179,1.75231028562063,0.400977998251633,100.482425093651
0,1801.71516523673,1.04401260614395,20.1192379076784,3.89773867887576,1.20402229882756,0.401329933648885,101.044012606144
0,2101.20771871848,1.79978087544441,35.9233589196661,4.02137821899218,0.949877982032161,0.400854194787721,101.799780875444
0,2403.80670080261,2.63331457972527,54.7268512012981,4.17550119296436,0.817750004168477,0.400574933747107,102.633314579725
0,2701.99644288475,3.43192368745804,72.8659223707094,4.25863453359013,0.731785682855459,0.400372227606191,103.431923687458
0,3003.45481540582,4.12203371524811,87.7297310337053,4.26431950770386,0.669365704458244,0.400207382744102,104.122033715248
0,3300.02780931528,4.61097806692123,96.9151790410596,4.20767464422346,0.624984075929497,0.400088468109254,104.610978066921
0,3602.08392958229,4.87454235553741,99.9999623632793,4.10429910954057,0.593315045511184,0.399996186064754,104.874542355537
0,3900.80702464686,4.89875674247742,97.2869801673787,3.97097781432992,0.57294536044122,0.398956405562233,104.898756742477
0,4201.69200779915,4.71435487270355,90.0135040764162,3.81559817779553,0.561465891106011,0.390732459544521,104.714354872704
0,4500.57051175149,4.37535345554352,79.8410507491182,3.64559859293671,0.557079915361117,0.377427788764712,104.375353455544
0,4801.07763820336,3.93390655517578,68.1903749374337,3.46178793014466,0.558082693362418,0.360041742082863,103.933906555176
0,5103.19791219363,3.44356521964073,56.3194352319231,3.26510664219518,0.562773565161911,0.339678457502595,103.443565219641
0,5403.15834042567,2.95508652925491,45.280750770619,3.05839717589533,0.569186498482489,0.317595694115422,102.955086529255
0,5700.82201143471,2.49827280640602,35.5969635715335,2.8428688160998,0.57552067195177,0.294478048281766,102.498272806406
0,6003.39795542601,2.08243727684021,27.2863340429488,2.61452921767531,0.579821715253697,0.271030161956898,102.08243727684
0,6301.80402301878,1.72527506947517,20.6288007316258,2.38522282192759,0.581219927747548,0.251270419714956,101.725275069475
0,6603.26342859952,1.4198012650013,15.3325643763368,2.1542545489939,0.578723746357822,0.234102165893447,101.419801265001
0,6902.58009054556,1.1674128472805,11.3074607247057,1.93138902645758,0.57225981940047,0.219289880456526,101.167412847281
0,7201.54940995262,0.962056219577789,8.29813977855589,1.72060187316839,0.561629091933222,0.206519180402879,100.962056219578
0,7501.5240668565,0.794883817434311,6.08564861754928,1.52638818581737,0.548161261647967,0.195491954450897,100.794883817434
0,7803.48107249965,0.66123902797699,4.48734880505417,1.3533363628727,0.532880339491893,0.186327015580775,100.661239027977
0,8102.98126221006,0.555999577045441,3.36885169414363,1.20757672861945,0.518522078915638,0.179092942225191,100.555999577045
0,8404.70083187628,0.473577529191971,2.5857924201914,1.08884239328056,0.506545928274549,0.173926572934961,100.473577529192
0,8702.70314476642,0.410247594118118,2.05540964380176,0.999479841040969,0.499501676420459,0.170917417285484,100.410247594118
0,9001.33240763894,0.360887497663498,1.69485986262178,0.936160399958242,0.498740137087484,0.170006254733579,100.360887497663
0,9305.87942091126,0.322703272104263,1.44940061964242,0.895223241501829,0.504221498148343,0.171313183763272,100.322703272104
0,9602.44469211601,0.294763594865799,1.29139490426335,0.873769383371664,0.51481258388405,0.174589103584895,100.294763594866
0,9902.40570229818,0.273343175649643,1.1864620902391,0.865743106556021,0.529538801501553,0.179604381856888,100.27334317565
0,10204.8246699751,0.25751069188118,1.11795573348056,0.866886914914654,0.546146845682425,0.186182812162333,100.257510691881
0,10500.553824985,0.245403498411179,1.07483783323295,0.873189083590829,0.563402201013887,0.1936048567542,100.245403498411
0,10803.7790327388,0.237021595239639,1.04674475261383,0.882158441549887,0.579000212627263,0.202301267313697,100.23702159524
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.1,0.209081918001175,1.0000011290666,0.954984985645358,0.666789394194925,0.00238712040730542,99.2090819180012
100,300.1,0.209547579288483,0.999801567022183,0.955043099246126,0.665648179214733,0.238814095007447,99.2095475792885
100,600.1,0.209547579288483,0.989633449422576,0.945214926779699,0.657605275585359,0.237660935069202,99.2095475792885
100,900.1,0.215601176023483,0.718912095324168,0.6738132510615,0.458795879469543,0.212156048769399,99.2156011760235
100,1208.63103704786,0.266358256340027,-0.227177206702034,-0.171916661232341,0.105518805314536,0.168036049343439,99.26635825634
100,1500.66092566459,0.488944351673126,3.11956365498489,1.2938116671422,0.582622882995014,0.232121493772093,99.4889443516731
100,1801.71516523673,1.05844810605049,14.6675389366441,2.80910270429447,0.860099773786932,0.341038743372488,100.05844810605
100,2101.20771871848,1.81281939148903,30.9498160189247,3.43869093667341,0.809670428354183,0.373375604209876,100.812819391489
100,2403.80670080261,2.64495611190796,50.1047300068063,3.80526135121245,0.743676523944539,0.385099893063032,101.644956111908
100,2701.99644288475,3.44216823577881,68.7822065080758,4.00810048241355,0.687731256583813,0.390769201630898,102.442168235779
100,3003.45481540582,4.12948429584503,84.5046130185821,4.10003014660958,0.64300442675088,0.394243445396994,103.129484295845
